House Vote #42 2020-02-06T20:11:00 - H.Amdt. 768 (Foxx) to H.R. 2474: Beginning on page 14, line 25, strike "the names of all Employees" and all that follows through "personal email Addresses" on page 15, line 4, and insert "the names of all employees in the bargaining unit and not more tha
person,state,district,vote,name,party
400004,AL,4,Aye,Rep. Robert Aderholt [R],Republican
400029,UT,1,Aye,Rep. Rob Bishop [R],Republican
400030,GA,2,No,Rep. Sanford Bishop Jr. [D],Democrat
400033,OR,3,No,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Aye,Rep. Kevin Brady [R],Republican
400052,TX,26,Aye,Rep. Michael Burgess [R],Republican
400057,CA,42,Aye,Rep. Ken Calvert [R],Republican
400068,TX,31,Aye,Rep. John Carter [R],Republican
400069,HI,1,No,Rep. Ed Case [D],Democrat
400071,OH,1,Aye,Rep. Steve Chabot [R],Republican
400074,MO,1,No,Rep. Lacy Clay Jr. [D],Democrat
400075,SC,6,No,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Aye,Rep. Tom Cole [R],Republican
400081,TN,5,No,Rep. Jim Cooper [D],Democrat
400093,IL,7,No,Rep. Danny Davis [D],Democrat
400097,CA,53,No,Rep. Susan Davis [D],Democrat
400100,OR,4,No,Rep. Peter DeFazio [D],Democrat
400101,CO,1,No,Rep. Diana DeGette [D],Democrat
400103,CT,3,No,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Aye,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,No,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,No,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400122,NY,16,No,Rep. Eliot Engel [D],Democrat
400124,CA,18,Not Voting,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Aye,Rep. Kay Granger [R],Republican
400158,MO,6,Aye,Rep. Sam Graves [R],Republican
400162,AZ,3,No,Rep. Raúl Grijalva [D],Democrat
400170,FL,20,No,Rep. Alcee Hastings [D],Democrat
400189,MD,5,No,Rep. Steny Hoyer [D],Democrat
400199,TX,18,No,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,No,Rep. Eddie Johnson [D],Democrat
400211,OH,9,No,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,No,Rep. Ron Kind [D],Democrat
400219,NY,2,No,Rep. Peter “Pete” King [R],Republican
400220,IA,4,Aye,Rep. Steve King [R],Republican
400230,RI,2,No,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,No,Rep. Rick Larsen [D],Democrat
400233,CT,1,No,Rep. John Larson [D],Democrat
400237,CA,13,No,Rep. Barbara Lee [D],Democrat
400240,GA,5,Not Voting,"Rep. John Lewis [D, 1987-2020]",Democrat
400245,CA,19,No,Rep. Zoe Lofgren [D],Democrat
400246,NY,17,No,Rep. Nita Lowey [D],Democrat
400247,OK,3,Aye,Rep. Frank Lucas [R],Republican
400249,MA,8,No,Rep. Stephen Lynch [D],Democrat
400251,NY,12,No,Rep. Carolyn Maloney [D],Democrat
400259,MN,4,No,Rep. Betty McCollum [D],Democrat
400263,MA,2,No,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,No,Rep. Gregory Meeks [D],Democrat
400289,NY,10,No,Rep. Jerrold Nadler [D],Democrat
400290,CA,32,No,Rep. Grace Napolitano [D],Democrat
400291,MA,1,No,Rep. Richard Neal [D],Democrat
400295,DC,0,No,Rep. Eleanor Norton [D],Democrat
400297,CA,22,Aye,Rep. Devin Nunes [R],Republican
400308,NJ,6,No,Rep. Frank Pallone Jr. [D],Democrat
400309,NJ,9,No,Rep. Bill Pascrell Jr. [D],Democrat
400316,MN,7,No,Rep. Collin Peterson [D],Democrat
400326,NC,4,No,Rep. David Price [D],Democrat
400340,KY,5,Aye,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,Aye,Rep. Mike Rogers [R],Republican
400347,CA,40,No,Rep. Lucille Roybal-Allard [D],Democrat
400349,MD,2,No,Rep. A. Dutch Ruppersberger [D],Democrat
400350,IL,1,No,Rep. Bobby Rush [D],Democrat
400352,OH,13,No,Rep. Tim Ryan [D],Democrat
400355,CA,38,No,Rep. Linda Sánchez [D],Democrat
400360,IL,9,No,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,28,No,Rep. Adam Schiff [D],Democrat
400363,GA,13,No,Rep. David Scott [D],Democrat
400364,VA,3,No,Rep. Robert “Bobby” Scott [D],Democrat
400365,WI,5,Aye,Rep. James Sensenbrenner Jr. [R],Republican
400366,NY,15,No,Rep. José Serrano [D],Democrat
400371,CA,30,No,Rep. Brad Sherman [D],Democrat
400373,IL,15,Aye,Rep. John Shimkus [R],Republican
400376,ID,2,Aye,Rep. Michael “Mike” Simpson [R],Republican
400379,WA,9,No,Rep. Adam Smith [D],Democrat
400380,NJ,4,No,Rep. Christopher “Chris” Smith [R],Republican
400402,MS,2,No,Rep. Bennie Thompson [D],Democrat
400403,CA,5,No,Rep. Mike Thompson [D],Democrat
400404,TX,13,Aye,Rep. Mac Thornberry [R],Republican
400411,OH,10,Aye,Rep. Michael Turner [R],Republican
400414,MI,6,Aye,Rep. Fred Upton [R],Republican
400416,NY,7,No,Rep. Nydia Velázquez [D],Democrat
400417,IN,1,No,Rep. Peter Visclosky [D],Democrat
400419,OR,2,Aye,Rep. Greg Walden [R],Republican
400422,CA,43,No,Rep. Maxine Waters [D],Democrat
400433,SC,2,Aye,Rep. Joe Wilson [R],Republican
400440,AK,0,Aye,Rep. Don Young [R],Republican
400616,NC,1,No,Rep. George “G.K.” Butterfield Jr. [D],Democrat
400618,CA,16,No,Rep. Jim Costa [D],Democrat
400623,FL,23,No,Rep. Debbie Wasserman Schultz [D],Democrat
400630,IL,3,No,Rep. Daniel Lipinski [D],Democrat
400639,MO,5,Not Voting,Rep. Emanuel Cleaver II [D],Democrat
400640,NE,1,Aye,Rep. Jeff Fortenberry [R],Republican
400641,NY,26,No,Rep. Brian Higgins [D],Democrat
400643,NC,5,Aye,Rep. Virginia Foxx [R],Republican
400644,NC,10,Aye,Rep. Patrick McHenry [R],Republican
400651,TX,1,Aye,Rep. Louie Gohmert Jr. [R],Republican
400653,TX,9,No,Rep. Al Green [D],Democrat
400654,TX,10,Aye,Rep. Michael McCaul [R],Republican
400655,TX,11,Aye,Rep. Michael Conaway [R],Republican
400656,TX,24,Aye,Rep. Kenny Marchant [R],Republican
400657,TX,28,Aye,Rep. Henry Cuellar [D],Democrat
400659,WA,5,Aye,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,No,Rep. Gwen Moore [D],Democrat
400663,CA,6,No,Rep. Doris Matsui [D],Democrat
412186,NJ,8,No,Rep. Albio Sires [D],Democrat
412189,CA,9,No,Rep. Jerry McNerney [D],Democrat
412190,CA,23,Aye,Rep. Kevin McCarthy [R],Republican
412191,CO,5,Aye,Rep. Doug Lamborn [R],Republican
412192,CO,7,No,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,No,Rep. Joe Courtney [D],Democrat
412195,FL,14,No,Rep. Kathy Castor [D],Democrat
412196,FL,16,Aye,Rep. Vern Buchanan [R],Republican
412199,GA,4,No,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412209,IA,2,No,Rep. David Loebsack [D],Democrat
412211,KY,3,No,Rep. John Yarmuth [D],Democrat
412212,MD,3,No,Rep. John Sarbanes [D],Democrat
412213,MI,7,No,Rep. Tim Walberg [R],Republican
412217,NE,3,Aye,Rep. Adrian Smith [R],Republican
412221,NY,9,No,Rep. Yvette Clarke [D],Democrat
412226,OH,4,Aye,Rep. Jim Jordan [R],Republican
412236,TN,9,No,Rep. Steve Cohen [D],Democrat
412239,VT,0,No,Rep. Peter Welch [D],Democrat
412250,FL,12,Aye,Rep. Gus Bilirakis [R],Republican
412255,VA,1,Aye,Rep. Robert Wittman [R],Republican
412256,OH,5,Aye,Rep. Robert Latta [R],Republican
412257,IL,11,No,Rep. Bill Foster [D],Democrat
412258,IN,7,No,Rep. André Carson [D],Democrat
412259,CA,14,No,Rep. Jackie Speier [D],Democrat
412261,LA,1,Aye,Rep. Steve Scalise [R],Republican
412272,VA,11,No,Rep. Gerald Connolly [D],Democrat
412278,KY,2,Aye,Rep. Brett Guthrie [R],Republican
412282,CT,4,No,Rep. James Himes [D],Democrat
412286,AZ,2,Not Voting,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Aye,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,No,Rep. Ben Luján [D],Democrat
412295,CA,4,No,Rep. Tom McClintock [R],Republican
412302,TX,22,Aye,Rep. Pete Olson [R],Republican
412307,ME,1,No,Rep. Chellie Pingree [D],Democrat
412309,FL,8,Aye,Rep. Bill Posey [R],Republican
412310,TN,1,Aye,Rep. David “Phil” Roe [R],Republican
412312,MP,0,No,Rep. Gregorio Sablan [D],Democrat
412315,OR,5,Aye,Rep. Kurt Schrader [D],Democrat
412317,PA,15,Aye,Rep. Glenn Thompson [R],Republican
412318,NV,1,No,Rep. Dina Titus [D],Democrat
412319,NY,20,No,Rep. Paul Tonko [D],Democrat
412327,OH,11,No,Rep. Marcia Fudge [D],Democrat
412331,IL,5,No,Rep. Mike Quigley [D],Democrat
412379,CA,27,No,Rep. Judy Chu [D],Democrat
412382,CA,3,No,Rep. John Garamendi [D],Democrat
412385,FL,22,No,Rep. Theodore “Ted” Deutch [D],Democrat
412388,GA,14,Aye,"Rep. Tom Graves [R, 2013-2020]",Republican
412393,NY,23,Aye,Rep. Tom Reed II [R],Republican
412394,AL,2,Not Voting,Rep. Martha Roby [R],Republican
412395,AL,5,Aye,Rep. Mo Brooks [R],Republican
412396,AL,7,Not Voting,Rep. Terri Sewell [D],Democrat
412397,AZ,4,Aye,Rep. Paul Gosar [R],Republican
412399,AZ,6,Aye,Rep. David Schweikert [R],Republican
412400,AR,1,Aye,Rep. Eric “Rick” Crawford [R],Republican
412402,AR,3,Aye,Rep. Steve Womack [R],Republican
412404,CA,37,No,Rep. Karen Bass [D],Democrat
412405,CO,3,Aye,Rep. Scott Tipton [R],Republican
412410,FL,11,Not Voting,Rep. Daniel Webster [R],Republican
412412,FL,24,No,Rep. Frederica Wilson [D],Democrat
412416,GA,7,Aye,Rep. Rob Woodall [R],Republican
412417,GA,8,Aye,Rep. Austin Scott [R],Republican
412421,IL,16,Aye,Rep. Adam Kinzinger [R],Republican
412427,IN,8,Aye,Rep. Larry Bucshon [R],Republican
412432,LA,2,No,Rep. Cedric Richmond [D],Democrat
412434,MD,1,Aye,Rep. Andy Harris [R],Republican
412435,MA,9,No,Rep. William Keating [D],Democrat
412437,MI,2,No,Rep. Bill Huizenga [R],Republican
412438,MI,3,Aye,Rep. Justin Amash [L],Independent
412443,MS,4,Aye,Rep. Steven Palazzo [R],Republican
412444,MO,4,Aye,Rep. Vicky Hartzler [R],Republican
412445,MO,7,Aye,Rep. Billy Long [R],Republican
412460,OH,6,Aye,Rep. Bill Johnson [R],Republican
412461,OH,15,Aye,Rep. Steve Stivers [R],Republican
412463,OH,7,Aye,Rep. Bob Gibbs [R],Republican
412465,PA,16,Aye,Rep. Mike Kelly [R],Republican
412470,RI,1,No,Rep. David Cicilline [D],Democrat
412472,SC,3,Aye,Rep. Jeff Duncan [R],Republican
412476,TN,3,Aye,Rep. Charles “Chuck” Fleischmann [R],Republican
412477,TN,4,Aye,Rep. Scott DesJarlais [R],Republican
412480,TX,17,Aye,Rep. Bill Flores [R],Republican
412485,VA,9,Aye,Rep. Morgan Griffith [R],Republican
412486,WA,3,Aye,Rep. Jaime Herrera Beutler [R],Republican
412487,WV,1,No,Rep. David McKinley [R],Republican
412500,NV,2,Aye,Rep. Mark Amodei [R],Republican
412501,OR,1,No,Rep. Suzanne Bonamici [D],Democrat
412503,KY,4,Aye,Rep. Thomas Massie [R],Republican
412505,WA,1,No,Rep. Suzan DelBene [D],Democrat
412506,NJ,10,No,Rep. Donald Payne Jr. [D],Democrat
412510,CA,1,Aye,Rep. Doug LaMalfa [R],Republican
412511,CA,2,No,Rep. Jared Huffman [D],Democrat
412512,CA,7,No,Rep. Ami Bera [D],Democrat
412513,CA,8,Aye,Rep. Paul Cook [R],Republican
412514,CA,15,No,Rep. Eric Swalwell [D],Democrat
412516,CA,26,No,Rep. Julia Brownley [D],Democrat
412517,CA,29,Not Voting,Rep. Tony Cárdenas [D],Democrat
412519,CA,36,No,Rep. Raul Ruiz [D],Democrat
412520,CA,41,No,Rep. Mark Takano [D],Democrat
412521,CA,47,No,Rep. Alan Lowenthal [D],Democrat
412522,CA,51,No,Rep. Juan Vargas [D],Democrat
412523,CA,52,No,Rep. Scott Peters [D],Democrat
412525,FL,3,Aye,Rep. Ted Yoho [R],Republican
412529,FL,21,No,Rep. Lois Frankel [D],Democrat
412531,GA,9,Aye,Rep. Doug Collins [R],Republican
412532,HI,2,Not Voting,Rep. Tulsi Gabbard [D],Democrat
412534,IL,10,No,Rep. Bradley “Brad” Schneider [D],Democrat
412536,IL,13,Aye,Rep. Rodney Davis [R],Republican
412537,IL,17,No,Rep. Cheri Bustos [D],Democrat
412538,IN,2,Aye,Rep. Jackie Walorski [R],Republican
412539,IN,5,Aye,Rep. Susan Brooks [R],Republican
412541,KY,6,Aye,Rep. Garland “Andy” Barr [R],Republican
412543,MA,4,No,Rep. Joseph Kennedy III [D],Democrat
412546,MI,5,No,Rep. Daniel Kildee [D],Democrat
412548,MO,2,Aye,Rep. Ann Wagner [R],Republican
412550,NC,8,Aye,Rep. Richard Hudson [R],Republican
412552,NC,11,Aye,"Rep. Mark Meadows [R, 2013-2020]",Republican
412553,NC,2,Not Voting,Rep. George Holding [R],Republican
412557,NH,2,No,Rep. Ann Kuster [D],Democrat
412559,NV,4,No,Rep. Steven Horsford [D],Democrat
412560,NY,6,No,Rep. Grace Meng [D],Democrat
412561,NY,8,No,Rep. Hakeem Jeffries [D],Democrat
412562,NY,18,No,Rep. Sean Maloney [D],Democrat
412564,OH,2,Aye,Rep. Brad Wenstrup [R],Republican
412565,OH,3,No,Rep. Joyce Beatty [D],Democrat
412566,OH,14,Aye,Rep. David Joyce [R],Republican
412568,OK,2,Aye,Rep. Markwayne Mullin [R],Republican
412569,PA,10,Aye,Rep. Scott Perry [R],Republican
412571,PA,8,No,Rep. Matthew Cartwright [D],Democrat
412572,SC,7,Aye,Rep. Tom Rice [R],Republican
412574,TX,14,Aye,Rep. Randy Weber [R],Republican
412576,TX,20,No,Rep. Joaquin Castro [D],Democrat
412578,TX,25,Aye,Rep. Roger Williams [R],Republican
412579,TX,33,No,Rep. Marc Veasey [D],Democrat
412580,TX,34,No,Rep. Filemon Vela [D],Democrat
412581,UT,2,Aye,Rep. Chris Stewart [R],Republican
412583,WA,6,No,Rep. Derek Kilmer [D],Democrat
412584,WA,10,No,Rep. Denny Heck [D],Democrat
412585,WI,2,No,Rep. Mark Pocan [D],Democrat
412595,IL,2,No,Rep. Robin Kelly [D],Democrat
412596,MO,8,Aye,Rep. Jason Smith [R],Republican
412600,MA,5,No,Rep. Katherine Clark [D],Democrat
412601,AL,1,Not Voting,Rep. Bradley Byrne [R],Republican
412606,NJ,1,No,Rep. Donald Norcross [D],Democrat
412607,NC,12,No,Rep. Alma Adams [D],Democrat
412608,AL,6,Aye,Rep. Gary Palmer [R],Republican
412609,AR,2,Aye,Rep. French Hill [R],Republican
412610,AR,4,Aye,Rep. Bruce Westerman [R],Republican
412612,AZ,7,No,Rep. Ruben Gallego [D],Democrat
412613,CA,11,No,Rep. Mark DeSaulnier [D],Democrat
412615,CA,31,No,Rep. Pete Aguilar [D],Democrat
412616,CA,33,No,Rep. Ted Lieu [D],Democrat
412617,CA,35,No,Rep. Norma Torres [D],Democrat
412619,CO,4,Aye,Rep. Ken Buck [R],Republican
412622,GA,1,Aye,Rep. Buddy Carter [R],Republican
412623,GA,10,Aye,Rep. Jody Hice [R],Republican
412624,GA,11,Aye,Rep. Barry Loudermilk [R],Republican
412625,GA,12,Aye,Rep. Rick Allen [R],Republican
412629,IL,12,Aye,Rep. Mike Bost [R],Republican
412630,LA,5,Aye,Rep. Ralph Abraham [R],Republican
412631,LA,6,Aye,Rep. Garret Graves [R],Republican
412632,MA,6,No,Rep. Seth Moulton [D],Democrat
412634,MI,4,Aye,Rep. John Moolenaar [R],Republican
412637,MI,12,No,Rep. Debbie Dingell [D],Democrat
412638,MI,14,No,Rep. Brenda Lawrence [D],Democrat
412639,MN,6,Aye,Rep. Tom Emmer [R],Republican
412641,NC,7,Aye,Rep. David Rouzer [R],Republican
412644,NJ,12,No,Rep. Bonnie Watson Coleman [D],Democrat
412646,NY,1,Aye,Rep. Lee Zeldin [R],Republican
412647,NY,4,No,Rep. Kathleen Rice [D],Democrat
412648,NY,21,Aye,Rep. Elise Stefanik [R],Republican
412649,NY,24,Aye,Rep. John Katko [R],Republican
412652,PA,2,No,Rep. Brendan Boyle [D],Democrat
412653,TX,4,Aye,"Rep. John Ratcliffe [R, 2015-2020]",Republican
412654,TX,23,Aye,Rep. Will Hurd [R],Republican
412655,TX,36,Aye,Rep. Brian Babin [R],Republican
412657,VA,8,No,Rep. Donald Beyer [D],Democrat
412659,VI,0,No,Rep. Stacey Plaskett [D],Democrat
412660,WA,4,Aye,Rep. Dan Newhouse [R],Republican
412661,WI,6,Aye,Rep. Glenn Grothman [R],Republican
412662,WV,2,Aye,Rep. Alex Mooney [R],Republican
412664,AS,0,Not Voting,Rep. Aumua Amata [R],Republican
412670,NC,6,Aye,Rep. Mark Walker [R],Republican
412673,MS,1,Aye,Rep. Trent Kelly [R],Republican
412674,IL,18,Aye,Rep. Darin LaHood [R],Republican
412675,OH,8,Aye,Rep. Warren Davidson [R],Republican
412676,KY,1,Aye,Rep. James Comer [R],Republican
412677,PA,3,No,Rep. Dwight Evans [D],Democrat
412682,AZ,1,No,Rep. Tom O’Halleran [D],Democrat
412683,AZ,5,Aye,Rep. Andy Biggs [R],Republican
412684,CA,17,No,Rep. Ro Khanna [D],Democrat
412685,CA,20,No,Rep. Jimmy Panetta [D],Democrat
412686,CA,24,No,Rep. Salud Carbajal [D],Democrat
412687,CA,44,No,Rep. Nanette Barragán [D],Democrat
412688,CA,46,No,Rep. Luis Correa [D],Democrat
412689,DE,0,No,Rep. Lisa Blunt Rochester [D],Democrat
412690,FL,1,Not Voting,Rep. Matt Gaetz [R],Republican
412691,FL,2,Aye,Rep. Neal Dunn [R],Republican
412692,FL,4,Aye,Rep. John Rutherford [R],Republican
412693,FL,5,No,Rep. Al Lawson [D],Democrat
412694,FL,7,Aye,Rep. Stephanie Murphy [D],Democrat
412695,FL,9,No,Rep. Darren Soto [D],Democrat
412696,FL,10,No,Rep. Val Demings [D],Democrat
412697,FL,13,No,Rep. Charlie Crist [D],Democrat
412698,FL,18,Aye,Rep. Brian Mast [R],Republican
412699,FL,19,Aye,Rep. Francis Rooney [R],Republican
412700,GA,3,Aye,Rep. Drew Ferguson IV [R],Republican
412701,IL,8,No,Rep. Raja Krishnamoorthi [D],Democrat
412702,IN,3,Aye,Rep. Jim Banks [R],Republican
412703,IN,9,Aye,Rep. Trey Hollingsworth [R],Republican
412704,KS,1,Aye,Rep. Roger Marshall [R],Republican
412705,LA,3,Aye,Rep. Clay Higgins [R],Republican
412706,LA,4,Aye,Rep. Mike Johnson [R],Republican
412707,MD,4,No,Rep. Anthony Brown [D],Democrat
412708,MD,8,No,Rep. Jamie Raskin [D],Democrat
412709,MI,1,Aye,Rep. Jack Bergman [R],Republican
412710,MI,10,Aye,Rep. Paul Mitchell [R],Republican
412712,NC,13,Aye,Rep. Ted Budd [R],Republican
412713,NE,2,Aye,Rep. Don Bacon [R],Republican
412714,NJ,5,No,Rep. Josh Gottheimer [D],Democrat
412717,NY,3,No,Rep. Thomas Suozzi [D],Democrat
412718,NY,13,No,Rep. Adriano Espaillat [D],Democrat
412721,PA,1,No,Rep. Brian Fitzpatrick [R],Republican
412722,PA,11,Aye,Rep. Lloyd Smucker [R],Republican
412723,PR,0,Aye,Commish. Jenniffer González-Colón [R],Republican
412724,TN,8,Aye,Rep. David Kustoff [R],Republican
412725,TX,15,No,Rep. Vicente Gonzalez [D],Democrat
412726,TX,19,Aye,Rep. Jodey Arrington [R],Republican
412728,VA,4,No,Rep. Donald McEachin [D],Democrat
412730,WA,7,No,Rep. Pramila Jayapal [D],Democrat
412731,WI,8,Aye,Rep. Mike Gallagher [R],Republican
412732,WY,0,Aye,Rep. Liz Cheney [R],Republican
412735,KS,4,Aye,Rep. Ron Estes [R],Republican
412736,MT,0,Aye,Rep. Greg Gianforte [R],Republican
412738,SC,5,Aye,Rep. Ralph Norman Jr. [R],Republican
412739,CA,34,No,Rep. Jimmy Gomez [D],Democrat
412740,UT,3,Aye,Rep. John Curtis [R],Republican
412744,PA,17,No,Rep. Conor Lamb [D],Democrat
412745,AZ,8,Aye,Rep. Debbie Lesko [R],Republican
412746,TX,27,Aye,Rep. Michael Cloud [R],Republican
412747,OH,12,Aye,Rep. Troy Balderson [R],Republican
412748,OK,1,Aye,Rep. Kevin Hern [R],Republican
412749,NY,25,Not Voting,Rep. Joseph Morelle [D],Democrat
412750,PA,5,No,Rep. Mary Scanlon [D],Democrat
412751,PA,7,No,Rep. Susan Wild [D],Democrat
412753,AZ,9,No,Rep. Greg Stanton [D],Democrat
412754,CA,10,No,Rep. Josh Harder [D],Democrat
412755,CA,21,No,Rep. TJ Cox [D],Democrat
412757,CA,39,No,Rep. Gilbert Cisneros [D],Democrat
412758,CA,45,No,Rep. Katie Porter [D],Democrat
412759,CA,48,No,Rep. Harley Rouda [D],Democrat
412760,CA,49,No,Rep. Mike Levin [D],Democrat
412761,CO,2,No,Rep. Joe Neguse [D],Democrat
412762,CO,6,No,Rep. Jason Crow [D],Democrat
412763,CT,5,No,Rep. Jahana Hayes [D],Democrat
412764,FL,6,Aye,Rep. Michael Waltz [R],Republican
412765,FL,15,Aye,Rep. Ross Spano [R],Republican
412766,FL,17,Aye,Rep. Gregory Steube [R],Republican
412767,FL,26,No,Rep. Debbie Mucarsel-Powell [D],Democrat
412768,FL,27,No,Rep. Donna Shalala [D],Democrat
412769,GA,6,No,Rep. Lucy McBath [D],Democrat
412770,GU,0,Not Voting,Rep. Michael San Nicolas [D],Democrat
412771,IA,1,No,Rep. Abby Finkenauer [D],Democrat
412772,IA,3,No,Rep. Cynthia Axne [D],Democrat
412773,ID,1,Aye,Rep. Russ Fulcher [R],Republican
412774,IL,4,No,Rep. Jesús García [D],Democrat
412775,IL,6,No,Rep. Sean Casten [D],Democrat
412776,IL,14,No,Rep. Lauren Underwood [D],Democrat
412777,IN,4,Aye,Rep. James Baird [R],Republican
412778,IN,6,Aye,Rep. Greg Pence [R],Republican
412779,KS,2,Aye,Rep. Steven Watkins [R],Republican
412780,KS,3,No,Rep. Sharice Davids [D],Democrat
412781,MA,3,No,Rep. Lori Trahan [D],Democrat
412782,MA,7,No,Rep. Ayanna Pressley [D],Democrat
412783,MD,6,No,Rep. David Trone [D],Democrat
412784,MI,8,No,Rep. Elissa Slotkin [D],Democrat
412785,MI,9,No,Rep. Andy Levin [D],Democrat
412786,MI,11,No,Rep. Haley Stevens [D],Democrat
412787,MI,13,No,Rep. Rashida Tlaib [D],Democrat
412788,MN,1,Aye,Rep. Jim Hagedorn [R],Republican
412789,MN,2,No,Rep. Angie Craig [D],Democrat
412790,MN,3,No,Rep. Dean Phillips [D],Democrat
412791,MN,5,No,Rep. Ilhan Omar [D],Democrat
412792,MN,8,Aye,Rep. Pete Stauber [R],Republican
412793,MS,3,Aye,Rep. Michael Guest [R],Republican
412794,ND,0,Aye,Rep. Kelly Armstrong [R],Republican
412795,NH,1,No,Rep. Chris Pappas [D],Democrat
412796,NJ,2,No,Rep. Jefferson Van Drew [R],Republican
412797,NJ,3,No,Rep. Andy Kim [D],Democrat
412798,NJ,7,No,Rep. Tom Malinowski [D],Democrat
412799,NJ,11,No,Rep. Mikie Sherrill [D],Democrat
412800,NM,1,No,Rep. Debra Haaland [D],Democrat
412801,NM,2,No,Rep. Xochitl Torres Small [D],Democrat
412802,NV,3,No,Rep. Susie Lee [D],Democrat
412803,NY,11,No,Rep. Max Rose [D],Democrat
412804,NY,14,No,Rep. Alexandria Ocasio-Cortez [D],Democrat
412805,NY,19,No,Rep. Antonio Delgado [D],Democrat
412806,NY,22,No,Rep. Anthony Brindisi [D],Democrat
412807,OH,16,Aye,Rep. Anthony Gonzalez [R],Republican
412808,OK,5,No,Rep. Kendra Horn [D],Democrat
412809,PA,4,No,Rep. Madeleine Dean [D],Democrat
412810,PA,6,No,Rep. Chrissy Houlahan [D],Democrat
412811,PA,9,Not Voting,Rep. Daniel Meuser [R],Republican
412812,PA,13,Aye,Rep. John Joyce [R],Republican
412813,PA,14,Aye,Rep. Guy Reschenthaler [R],Republican
412814,SC,1,Aye,Rep. Joe Cunningham [D],Democrat
412815,SC,4,Aye,Rep. William Timmons [R],Republican
412816,SD,0,Aye,Rep. Dusty Johnson [R],Republican
412817,TN,2,Aye,Rep. Tim Burchett [R],Republican
412818,TN,6,Aye,Rep. John Rose [R],Republican
412819,TN,7,Aye,Rep. Mark Green [R],Republican
412820,TX,2,Aye,Rep. Dan Crenshaw [R],Republican
412821,TX,3,Aye,Rep. Van Taylor [R],Republican
412822,TX,5,Aye,Rep. Lance Gooden [R],Republican
412823,TX,6,Aye,Rep. Ron Wright [R],Republican
412824,TX,7,No,Rep. Lizzie Fletcher [D],Democrat
412825,TX,16,No,Rep. Veronica Escobar [D],Democrat
412826,TX,21,Aye,Rep. Chip Roy [R],Republican
412827,TX,29,No,Rep. Sylvia Garcia [D],Democrat
412828,TX,32,No,Rep. Colin Allred [D],Democrat
412829,UT,4,No,Rep. Ben McAdams [D],Democrat
412830,VA,2,No,Rep. Elaine Luria [D],Democrat
412831,VA,5,Aye,Rep. Denver Riggleman [R],Republican
412832,VA,6,Aye,Rep. Ben Cline [R],Republican
412833,VA,7,Aye,Rep. Abigail Spanberger [D],Democrat
412834,VA,10,No,Rep. Jennifer Wexton [D],Democrat
412835,WA,8,No,Rep. Kim Schrier [D],Democrat
412836,WI,1,Aye,Rep. Bryan Steil [R],Republican
412837,WV,3,Aye,Rep. Carol Miller [R],Republican
412842,ME,2,No,Rep. Jared Golden [D],Democrat
412843,PA,12,Aye,Rep. Fred Keller [R],Republican
412844,NC,9,Aye,Rep. Dan Bishop [R],Republican
412845,NC,3,Aye,Rep. Gregory Murphy [R],Republican
